ID,GNDR,MBTI,Open.,Cons.,Extra.,Agree.,Neuro.
E1,M,INTP,0.698,0.646,0.604,0.74,0.417
E2,M,INFP,0.615,0.354,0.479,0.552,0.677
E3,F,INFP,0.76,0.458,0.427,0.688,0.635
E4,M,ISTJ,0.5,0.802,0.5,0.729,0.406
E5,M,INTJ,0.688,0.792,0.51,0.781,0.312
E6,F,ISTJ,0.573,0.625,0.562,0.75,0.427
E7,M,ENTP,0.771,0.844,0.667,0.573,0.469
E8,F,ISTJ,0.656,0.75,0.49,0.635,0.448
E9,M,ESFJ,0.635,0.646,0.667,0.656,0.438
E10,F,INFJ,0.781,0.573,0.396,0.854,0.844
E11,F,ESFJ,0.76,0.781,0.646,0.802,0.188
E12,F,ESTJ,0.344,0.531,0.646,0.604,0.594
E13,M,ESTP,0.562,0.625,0.625,0.573,0.448
E14,F,INTJ,0.865,0.906,0.583,0.604,0.396
E15,F,ENFP,0.698,0.562,0.583,0.875,0.552
E16,F,ENFP,0.677,0.844,0.656,0.833,0.198
E17,M,ISTJ,0.625,0.552,0.427,0.51,0.844
E18,F,ENTJ,0.76,0.906,0.667,0.792,0.177
E19,M,ESTJ,0.5,0.625,0.646,0.771,0.406
E20,M,ISTJ,0.5,0.562,0.438,0.677,0.448
E21,M,ISTJ,0.729,0.896,0.625,0.802,0.188
E22,F,ESTJ,0.573,0.875,0.542,0.792,0.229
E23,M,ESTP,0.479,0.656,0.552,0.594,0.542
E24,F,ISTJ,0.552,0.771,0.562,0.667,0.24
E25,M,INTJ,0.781,0.781,0.562,0.719,0.146
E26,M,ENTJ,0.562,0.833,0.656,0.615,0.312
E27,M,ENTJ,0.833,0.854,0.823,0.688,0.208
E28,M,ESTP,0.646,0.677,0.604,0.781,0.177
E29,M,ESTJ,0.771,0.812,0.615,0.885,0.062
E30,M,ISFP,0.615,0.646,0.417,0.542,0.646
E31,M,ISTJ,0.5,0.646,0.417,0.604,0.396
E32,F,INTP,0.792,0.74,0.438,0.677,0.271
E33,M,ISTJ,0.677,0.854,0.562,0.812,0.385
E34,F,ENTJ,0.583,0.885,0.656,0.812,0.208
E35,F,INTP,0.635,0.552,0.521,0.771,0.521
E36,M,ESTJ,0.562,0.75,0.479,0.656,0.312
